sample,distance,date,day,lineage
BS000968-1,20,2020-11-15,77,B.1.1.214
BS001220-1,31,2021-05-02,245,B.1.1.7
BS001351-1,37,2021-07-05,309,B.1.1.7
BS001390-1,37,2021-07-16,320,AY.29
BS001401-1,35,2021-07-17,321,B.1.1.7
BS001881-1,39,2021-08-20,355,AY.29
BS002019-1,38,2021-08-30,365,AY.29
BS002081-1,47,2021-11-30,457,AY.29
BS002332-1,59,2022-01-08,496,BA.1.1.2
BS002452-1,51,2022-01-05,493,AY.29
BS003019-1,60,2022-01-22,510,BA.1.1.2
BS003145-1,60,2022-01-29,517,BA.1.1
BS003178-1,59,2022-01-25,513,BA.1.1.2
HG999245-1,18,2020-11-23,85,B.1.177.16
HG999251-1,16,2020-11-25,87,B.1.177.7
HG999315-1,32,2020-12-12,104,B.1.1.7
HG999334-1,20,2020-11-25,87,B.1.177
MW031051-1,17,2020-09-14,15,B.1.2
MW049012-1,13,2020-09-15,16,B.1.509
MW155042-1,24,2020-09-02,3,D.2
MW155134-1,16,2020-09-05,6,D.2
MW155212-1,16,2020-09-06,7,D.2
MW202227-1,19,2020-10-23,54,B.1.612
MW276201-1,14,2020-09-02,3,B.1.240
MW276211-1,13,2020-09-01,2,B.1.1.174
MW288274-1,15,2020-11-03,65,B.1.1.453
MW306406-1,17,2020-10-05,36,B.1.1.239
MW342069-1,22,2020-10-26,57,B.1.2
MW345280-1,27,2020-11-12,74,B.1.2
MW403548-1,20,2020-10-10,41,B.1.2
MW403611-1,17,2020-09-25,26,B.1.396
MW406505-1,13,2020-11-12,74,B.1
MW430990-1,24,2020-12-20,112,B.1
MW433749-1,18,2020-12-20,112,B.1.1.222
MW446221-1,14,2020-12-02,94,B.1.234
MW454518-1,18,2020-09-21,22,B.1
MW454674-1,16,2020-11-01,63,B.1.416
MW454683-1,16,2020-11-05,67,B.1.517
MW454698-1,22,2020-11-09,71,B.1.2
MW454719-1,19,2020-11-12,74,B.1.400
MW454760-1,20,2020-11-28,90,B.1.1.316
MW483601-1,22,2020-11-02,64,B.1.2
MW485287-1,20,2020-12-30,122,B.1.2
MW485323-1,30,2020-12-29,121,B.1.1.7
MW485906-1,26,2021-01-07,130,B.1.429
MW490908-1,15,2020-10-05,36,B.1.1.135
MW494393-1,21,2021-01-02,125,B.1.243
MW495878-1,19,2020-12-03,95,B.1.1
MW496026-1,21,2020-11-23,85,B.1.2
MW496056-1,25,2020-11-28,90,B.1.2
MW513622-1,19,2021-01-04,127,B.1.599
MW513625-1,20,2021-01-03,126,B.1.561
MW519688-1,19,2021-01-06,129,B.1.2
MW519826-1,21,2021-01-03,126,B.1.234
MW521568-1,19,2020-12-03,95,B.1.2
MW548241-1,27,2021-01-03,126,C.36
MW550392-1,19,2020-12-14,106,B.1.375
MW550571-1,10,2020-11-30,92,B.1
MW560761-1,25,2021-01-14,137,B.1.2
MW560919-1,26,2021-01-18,141,B.1.429
MW565127-1,13,2020-09-04,5,B.1.240
MW566214-1,23,2020-12-30,122,B.1.2
MW577077-1,20,2021-01-12,135,B.1.577
MW577797-1,23,2021-01-12,135,B.1.2
MW583347-1,25,2021-01-12,135,B.1.2
MW585918-1,18,2021-01-18,141,B.1.609
MW586187-1,23,2021-01-28,151,B.1.2
MW586434-1,14,2021-01-21,144,B.1.243
MW590942-2,25,2021-01-26,149,B.1.596
MW592810-1,20,2021-01-06,129,B.1.2
MW617735-1,18,2021-02-02,156,B.1.243
MW626624-1,16,2021-01-11,134,B.1.280
MW629255-1,20,2021-01-18,141,B.1.568
MW634509-1,22,2020-12-26,118,B.1.2
MW637134-1,27,2021-01-20,143,B.1.2
MW642025-1,35,2021-02-11,165,B.1.1.7
MW642253-1,16,2020-11-24,86,B.1.1.139
MW643275-1,13,2021-02-02,156,B.1.400
MW645940-1,12,2020-09-16,17,B.1.403
MW666263-1,29,2021-02-01,155,B.1.2
MW666281-1,22,2021-02-02,156,B.1.1.222
MW666411-1,19,2021-02-01,155,B.1.2
MW666494-1,26,2021-02-01,155,B.1.2
MW666667-1,23,2021-01-30,153,B.1.2
MW666999-1,19,2021-01-27,150,B.1.2
MW667027-1,25,2021-01-25,148,B.1.2
MW667279-1,23,2021-01-25,148,B.1.2
MW667321-1,24,2021-01-24,147,B.1.2
MW667556-1,34,2021-01-26,149,B.1.1.7
MW668505-1,21,2021-02-01,155,B.1.234
MW668906-1,27,2021-02-02,156,B.1.2
MW669736-1,26,2021-02-08,162,B.1.429
MW671739-1,26,2021-01-31,154,B.1.429
MW674257-1,30,2021-02-12,166,B.1.2
MW679504-1,18,2021-02-05,159,B.1.1.207
MW681017-1,14,2020-10-20,51,B.1.298
MW681494-1,21,2021-02-10,164,B.1.2
MW684628-1,25,2021-02-06,160,B.1.2
MW687371-1,25,2021-01-03,126,B.1.1
MW689913-1,35,2021-02-15,169,B.1.1.7
MW692928-1,19,2021-02-09,163,B.1.243
MW692976-1,26,2021-02-10,164,B.1.346
MW693574-1,24,2021-02-10,164,B.1.561
MW693769-1,23,2021-02-10,164,B.1.2
MW693864-1,24,2021-02-11,165,B.1.2
MW693913-1,22,2021-02-11,165,B.1.2
MW693954-1,22,2021-02-10,164,B.1.2
MW696615-1,21,2021-02-15,169,B.1.2
MW696628-1,27,2021-02-15,169,B.1.2
MW697954-1,22,2021-02-14,168,B.1.2
MW697997-1,20,2021-02-10,164,B.1.2
MW699171-1,38,2021-02-23,177,B.1.1.7
MW699900-1,38,2021-02-26,180,B.1.1.7
MW701951-1,19,2020-12-02,94,B.1.2
MW702146-1,27,2021-01-04,127,B.1.429
MW702253-1,13,2020-12-19,111,B.1
MW703021-1,29,2021-01-18,141,B.1.429
MW708227-1,23,2021-01-26,149,B.1.596
MW708412-1,21,2021-01-26,149,B.1.2
MW719546-1,22,2021-02-09,163,B.1.2
MW719698-1,26,2021-02-20,174,B.1.110.3
MW719715-1,19,2021-02-19,173,B.1.111
MW719841-1,25,2021-02-22,176,B.1.311
MW720210-1,18,2021-02-17,171,B.1.234
MW720302-1,23,2021-02-18,172,B.1.2
MW720470-1,16,2021-02-17,171,B.1.517
MW720488-1,24,2021-02-17,171,B.1.2
MW720613-1,33,2021-02-09,163,B.1.1.7
MW725630-1,36,2021-02-12,166,B.1.1.7
MW725909-1,23,2021-02-24,178,B.1.1.434
MW728523-1,26,2021-02-21,175,B.1.2
MW728543-1,29,2021-02-20,174,B.1.1.519
MW730959-1,22,2021-01-17,140,B.1.2
MW731233-1,21,2021-02-02,156,B.1.568
MW731302-1,28,2021-02-09,163,B.1.429
MW731343-1,31,2021-02-08,162,B.1.561
MW731443-1,25,2021-02-02,156,B.1.2
MW733389-1,19,2021-02-21,175,B.1.234
MW733686-1,19,2021-02-22,176,B.1.517
MW735961-1,23,2021-01-13,136,B.1.2
MW736081-1,19,2021-01-04,127,B.1.2
MW737635-1,34,2021-02-01,155,A.2.5
MW739795-1,22,2021-01-15,138,B.1.2
MW748092-1,17,2021-02-04,158,B.1.2
MW748189-1,16,2020-12-07,99,B.1.2
MW758593-1,26,2021-02-24,178,B.1.2
MW758717-1,18,2021-02-24,178,B.1.324
MW763942-1,25,2021-02-28,182,B.1.2
MW766504-1,22,2021-02-22,176,B.1.2
MW766518-1,29,2021-02-24,178,B.1.429
MW766678-1,23,2021-02-02,156,C.23
MW766843-1,21,2021-02-13,167,B.1.243
MW767602-1,24,2021-03-04,186,B.1.2
MW771981-1,25,2021-03-03,185,P.2
MW772078-1,24,2021-02-27,181,B.1.1.316
MW773555-1,36,2021-02-15,169,B.1.1.7
MW776824-1,15,2020-11-03,65,B.1.1.362
MW777128-1,20,2021-02-16,170,B.1.2
MW777278-1,35,2021-02-14,168,B.1.429
MW777409-1,20,2021-02-18,172,B.1.2
MW777615-1,30,2021-02-16,170,B.1.429
MW778813-1,21,2021-02-19,173,B.1.349
MW778984-1,19,2021-02-22,176,B.1.427
MW779055-1,21,2021-02-22,176,B.1.2
MW779439-1,21,2021-02-24,178,B.1.2
MW781404-1,25,2021-02-25,179,B.1.429
MW782891-1,18,2021-03-05,187,B.1.243
MW783237-1,24,2021-03-03,185,B.1.2
MW788809-1,24,2021-02-22,176,B.1.400
MW792857-1,24,2021-01-31,154,C.23
MW792901-1,21,2021-02-24,178,B.1.2
MW793062-1,22,2021-03-07,189,B.1.1.316
MW793594-1,30,2021-03-02,184,B.1.429
MW796015-1,26,2021-01-20,143,B.1.429
MW796021-1,26,2021-02-02,156,B.1.2
MW796750-1,22,2021-02-24,178,B.1.2
MW796829-1,34,2021-02-23,177,B.1.1.519
MW796913-1,29,2021-03-03,185,B.1.2
MW804404-1,34,2021-02-28,182,B.1.1.7
MW804406-1,34,2021-02-28,182,B.1.1.7
MW804668-1,38,2021-03-15,197,B.1.1.7
MW805136-1,32,2021-03-07,189,B.1.1.519
MW808041-1,32,2021-02-21,175,B.1.1.7
MW808447-1,29,2021-03-09,191,B.1.1.519
MW808595-1,20,2021-03-07,189,B.1.2
MW808684-1,27,2021-03-06,188,B.1.2
MW808811-1,23,2021-02-28,182,B.1.2
MW816983-1,25,2021-03-12,194,B.1.2
