task_id	name	status	exit	realtime	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar
1	PULL_METADATA	COMPLETED	0	25ms	47.1%	0.0%	0	0	0	0	184.4 KB	143.4 KB
2	REFORMAT_METADATA	COMPLETED	0	13ms	44.4%	0.0%	0	0	0	0	41.4 KB	178 B
3	SELECT_SUBSAMPLE	COMPLETED	0	14ms	44.4%	0.0%	0	0	0	0	41.2 KB	178 B
11	PULL_FASTAS (OD966108.1)	COMPLETED	0	2.6s	17.1%	0.4%	15.9 MB	1 GB	15.9 MB	1.1 GB	693.9 KB	54.9 KB
12	PULL_FASTAS (MW816983.1)	COMPLETED	0	2s	14.9%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	686.7 KB	82.8 KB
10	PULL_FASTAS (MZ499896.1)	COMPLETED	0	2.8s	12.4%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	686.3 KB	83.1 KB
4	PULL_FASTAS (OM228441.1)	COMPLETED	0	2.1s	20.0%	0.5%	20.6 MB	1.1 GB	20.6 MB	1.1 GB	686.9 KB	84 KB
13	PULL_FASTAS (OL853279.1)	COMPLETED	0	2.1s	16.7%	0.5%	19.8 MB	1.1 GB	19.8 MB	1.1 GB	686.8 KB	83.6 KB
8	PULL_FASTAS (OM353737.1)	COMPLETED	0	2.1s	15.8%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	686.9 KB	83.3 KB
5	PULL_FASTAS (OM700317.1)	COMPLETED	0	1.8s	16.8%	0.5%	20.6 MB	1.1 GB	20.6 MB	1.1 GB	686.7 KB	83.5 KB
6	PULL_FASTAS (OM693431.1)	COMPLETED	0	1.8s	14.7%	0.5%	20.3 MB	1.2 GB	20.3 MB	1.2 GB	686.7 KB	83.1 KB
7	PULL_FASTAS (OW104045.1)	COMPLETED	0	902ms	14.7%	0.4%	13.5 MB	1 GB	13.5 MB	1 GB	694 KB	53.1 KB
9	PULL_FASTAS (MW928139.1)	COMPLETED	0	816ms	16.0%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	686.5 KB	81.5 KB
14	PULL_FASTAS (MW869063.1)	COMPLETED	0	687ms	18.8%	0.5%	19.4 MB	1.1 GB	19.4 MB	1.2 GB	686.9 KB	82.5 KB
