accession,date,pango
OM228441.1,2021-12-31,BA.1
OM700317.1,2022-01-31,BA.1.1
OM693431.1,2022-01-26,BA.1.15
OW104045.1,2021-12-11,AY.4.2.2
OM353737.1,2021-12-30,BA.1.1
MW928139.1,2020-11-06,B.1.550
MZ499896.1,2021-05-10,B.1.1.7
OD966108.1,2021-01-28,B.1.1.7
MW816983.1,2021-03-12,B.1.2
OL853279.1,2021-11-18,AY.103
MW869063.1,2021-03-06,B.1.1.7
OM764907.1,2022-01-29,BA.2.3
OD952627.1,2021-01-23,B.1.1.7
MZ978001.1,2021-07-25,B.1.617.2
MW851387.1,2021-03-04,B.1.429
OV089886.1,2021-10-26,AY.5.5
ON383617.1,2021-12-18,BA.1
OM455908.1,2022-01-10,BA.1.1
OD985379.1,2021-02-10,B.1.1.7
OM410854.1,2022-01-11,BA.1.1
OA990281.1,2020-09-24,B.1.1.37
OL820004.1,2021-11-14,AY.100
OD967055.1,2021-01-28,B.1.1.7
BS001390.1,2021-07-16,AY.29
OM123681.1,2021-12-01,AY.44
OL735860.1,2021-11-14,AY.25
MZ131540.1,2021-04-16,B.1.1.7
OM047066.1,2021-11-22,AY.103
MZ376296.1,2021-05-25,B.1.429
OU032079.1,2021-01-15,B.1.177.16
OM085279.1,2021-12-10,AY.44
MZ366576.1,2021-03-21,B.1.1.519
OM484190.1,2022-01-10,BA.1.1
OL887203.1,2021-11-17,AY.3
OM474405.1,2022-01-17,BA.1.1
OM458635.1,2021-12-23,AY.44
OM620034.1,2022-01-28,BA.1.20
MW748092.1,2021-02-04,B.1.2
MZ622443.1,2020-11-23,B.1.595
OD929840.1,2021-01-01,B.1.1.7
MW671739.1,2021-01-31,B.1.429
OU032388.1,2020-12-30,B.1.1.7
OD918789.1,2020-12-13,B.1.1.7
OL904517.1,2021-12-06,AY.44
OA983455.1,2020-09-10,B.1.177
OD968859.1,2021-01-30,B.1.1.7
ON214834.1,2021-12-24,BA.1
OU423323.1,2021-06-18,AY.4
OM459060.1,2022-01-11,BA.1.18
OM627346.1,2022-01-26,BA.1.1
OM034438.1,2021-12-10,AY.25.1
OL987399.1,2021-12-13,AY.20
MZ622500.1,2020-11-24,B.1.400
ON343137.1,2020-12-13,B.1.429
OU390921.1,2021-04-08,B.1.1.7
OU798770.1,2021-05-26,AY.4
OM389833.1,2021-11-23,AY.39
OM297799.1,2021-12-28,AY.47
OM562659.1,2022-01-03,BA.1.1
OM071163.1,2021-12-18,AY.103
OD904306.1,2020-11-22,B.1.177
OD910935.1,2020-12-13,B.1.1.7
MZ827598.1,2021-07-29,AY.14
OM398387.1,2022-01-08,AY.3
OM679157.1,2022-01-03,BA.1.1
MZ000996.1,2021-03-28,B.1.1
OM478179.1,2022-01-21,BA.1
OD918893.1,2020-12-21,B.1.177.4
OU806825.1,2021-05-29,AY.9
OD981102.1,2021-02-06,B.1.1.7
OL540760.1,2021-01-06,B.1.429
ON575253.1,2021-08-09,AY.99.2
OM294497.1,2021-12-16,AY.119.2
OM310658.1,2022-01-01,BA.1.15
OL782804.1,2021-10-05,AY.118
ON085611.1,2021-02-01,B.1.2
OD899858.1,2020-11-15,B.1.1.311
OL730327.1,2021-11-04,AY.25
OX068799.1,2022-01-04,BA.1.1
OM344204.1,2022-01-04,BA.1.1.10
MZ471551.1,2020-12-11,B.1.2
OL820394.1,2021-11-03,AY.122
OW120226.1,2022-01-25,BA.1.1
OL729477.1,2021-11-03,AY.103
MW771981.1,2021-03-03,P.2
OD979608.1,2021-02-09,B.1.1.7
MW548241.1,2021-01-03,C.36
MZ212009.1,2021-04-07,B.1.1.7
OL725482.1,2021-11-03,AY.103
MZ512583.1,2021-03-17,B.1.2
OU737917.1,2021-07-31,AY.4
OM125735.1,2021-12-15,AY.119
MZ000817.1,2021-03-26,B.1.1.7
MW912126.1,2021-03-20,B.1.1.7
MZ340959.1,2021-04-29,B.1.1.7
OL732101.1,2021-11-09,AY.39
MZ798924.1,2021-02-22,B.1.517
ON440843.1,2021-07-28,AY.43
OB995138.1,2020-11-02,B.1.1.7
OM624183.1,2022-01-22,BA.1.1
ON072718.1,2021-12-10,AY.20
OW103122.1,2021-12-13,AY.4.2.2
OV315676.1,2021-11-22,AY.4
MW911994.1,2021-03-18,B.1.1.7
OB991930.1,2020-10-24,B.1.177.55
OL946002.1,2021-11-28,AY.47
MZ153753.1,2021-04-19,B.1.1.7
MZ535044.1,2021-06-22,B.1.617.2
OU660343.1,2021-08-05,AY.4
OD898702.1,2020-11-15,B.1.1.7
OU810017.1,2020-11-26,B.1.177.57
OL369873.1,2021-04-28,B.1.526
OV282711.1,2021-11-23,AY.43
OM002041.1,2021-12-05,AY.44
MZ260771.1,2021-04-21,B.1.1.7
OM068410.1,2021-03-28,B.1.1.519
OD929067.1,2020-10-15,C.35
OM117479.1,2021-12-21,BA.1.1
MZ449042.1,2020-12-04,B.1.110.3
OL948864.1,2021-11-06,AY.103
OD972287.1,2021-01-12,B.1.177.9
OM213949.2,2021-12-24,BA.1.1
OM231582.1,2021-12-27,BA.1.1
OU533533.1,2021-07-25,AY.4
OL720721.1,2021-11-23,B.1.617.2
OL696875.1,2021-11-07,AY.4
OD933893.1,2021-01-09,B.1.1.7
ON615360.1,2022-01-31,BA.1.1
OM160127.1,2021-12-21,BA.1.1.18
OW103689.1,2021-12-13,AY.4
OL890230.1,2021-12-03,AY.43
OL775036.1,2021-11-26,AY.25
OC996305.1,2020-11-08,B.1.177
OM638848.1,2022-01-20,BA.1.1
OM573830.1,2022-01-27,BA.1.15
OD973409.1,2021-01-27,B.1.1.7
MZ181409.1,2021-04-28,B.1.1.7
MZ320149.1,2021-05-21,B.1.1.7
OM227616.1,2021-12-30,BA.1.1
OL743926.1,2021-11-03,AY.44
ON094481.1,2022-01-22,B.1.617.2
ON600096.1,2022-01-22,BA.2.2
OU391284.1,2021-01-01,B.1.1.7
MW643275.1,2021-02-02,B.1.400
OD991414.1,2021-02-15,B.1.1.7
OU593802.1,2021-08-03,AY.4
MW963536.1,2021-02-19,B.1.1.7
MZ296497.1,2021-04-16,B.1.1.7
OV687241.1,2021-12-11,AY.43.9
OV089133.1,2021-10-31,unclassifiable
OM043379.1,2021-12-15,BA.1.18
